method,auc,0.0 - precision,0.0 - recall,0.0 - f1-score,0.0 - support,1.0 - precision,1.0 - recall,1.0 - f1-score,1.0 - support,macro avg - precision,macro avg - recall,macro avg - f1-score,macro avg - support,weighted avg - precision,weighted avg - recall,weighted avg - f1-score,weighted avg - support,epochs,hidden_dim1,hidden_dim2,lr
Random,0.8423867246130314,0.7932104946925695,0.7358788554440728,0.7634698795180722,21528,0.7536822041240686,0.8081568190263843,0.7799695149287188,21528,0.773446349408319,0.7720178372352285,0.7717196972233955,43056,0.7734463494083191,0.7720178372352285,0.7717196972233955,43056,150,256,32,0.01
Random,0.8433115915359717,0.7932864870330115,0.7289111854329245,0.7597375874506765,21528,0.7492588614393125,0.8100613154960981,0.7784746557150191,21528,0.771272674236162,0.7694862504645112,0.7691061215828479,43056,0.7712726742361621,0.7694862504645114,0.7691061215828477,43056,150,256,32,0.05
Candidates,0.7724362156977972,0.7077121623425748,0.7387123745819398,0.7228800654560331,21528,0.7267427738644644,0.694908955778521,0.710469451238335,21528,0.7172274681035196,0.7168106651802304,0.7166747583471841,43056,0.7172274681035197,0.7168106651802304,0.7166747583471841,43056,150,128,16,0.001
Candidates,0.8192064104359316,0.7368421052631579,0.7875325157933853,0.7613445000785862,21528,0.7718361849653315,0.7187383872166481,0.7443415514131088,21528,0.7543391451142447,0.7531354515050167,0.7528430257458475,43056,0.7543391451142447,0.7531354515050167,0.7528430257458474,43056,150,128,16,0.01
Candidates,0.831330856431509,0.7747827367800855,0.7329988851727982,0.753311851056212,21528,0.7466613777601481,0.7869286510590858,0.7662663681389511,21528,0.7607220572701168,0.759963768115942,0.7597891095975815,43056,0.7607220572701168,0.759963768115942,0.7597891095975815,43056,150,128,16,0.05
Candidates,0.7897187927182989,0.7226955497144929,0.7407562244518766,0.7316144423544524,21528,0.7341114816579324,0.7157655146785582,0.7248224281480785,21528,0.7284035156862126,0.7282608695652174,0.7282184352512655,43056,0.7284035156862126,0.7282608695652174,0.7282184352512655,43056,150,128,32,0.001
Candidates,0.8291496878797998,0.7763391098857818,0.732487922705314,0.7537762906309752,21528,0.746790362293352,0.7889725009290227,0.76730213227322,21528,0.761564736089567,0.7607302118171684,0.7605392114520976,43056,0.7615647360895669,0.7607302118171684,0.7605392114520976,43056,150,128,32,0.01
Candidates,0.8283881734620308,0.764916918429003,0.752694165737644,0.7587563214085035,21528,0.7565837600585223,0.7686733556298774,0.7625806451612903,21528,0.7607503392437627,0.7606837606837606,0.7606684832848969,43056,0.7607503392437627,0.7606837606837606,0.7606684832848969,43056,150,128,32,0.05
Candidates,0.7657366559841143,0.7015624316162633,0.7446116685247121,0.7224463122788832,21528,0.7279160686890681,0.6832497212931996,0.7048760033544987,21528,0.7147392501526657,0.7139306949089559,0.7136611578166909,43056,0.7147392501526657,0.7139306949089559,0.713661157816691,43056,150,256,16,0.001
Candidates,0.8229510270844458,0.7446582614465826,0.7819119286510591,0.7628305349738291,21528,0.7704268739914919,0.7318840579710145,0.7506610448081185,21528,0.7575425677190373,0.7568979933110368,0.7567457898909737,43056,0.7575425677190373,0.7568979933110368,0.7567457898909739,43056,150,256,16,0.01
Candidates,0.6696467383968142,0.6148203205791106,0.8837328130806391,0.7251486507089495,21528,0.7933454425363277,0.44634894091415833,0.5712841854934602,21528,0.7040828815577191,0.6650408769973988,0.6482164181012049,43056,0.7040828815577191,0.6650408769973988,0.6482164181012049,43056,150,256,16,0.05
Candidates,0.7817718880209035,0.7132621272808188,0.7444723151244891,0.7285331151415975,21528,0.7327795589235403,0.7007153474544779,0.7163888493137675,21528,0.7230208431021796,0.7225938312894835,0.7224609822276824,43056,0.7230208431021795,0.7225938312894835,0.7224609822276825,43056,150,256,32,0.001
Candidates,0.818325479837964,0.7523231556988431,0.7370865849126719,0.7446269357109339,21528,0.742305590967037,0.7573392790784095,0.7497470799227445,21528,0.74731437333294,0.7472129319955407,0.7471870078168392,43056,0.74731437333294,0.7472129319955407,0.7471870078168391,43056,150,256,32,0.01
Candidates,0.8325159472299244,0.7784448818897638,0.7347640282422891,0.7559740011470082,21528,0.7488564391273751,0.7908769973987365,0.7692933309235496,21528,0.7636506605085694,0.7628205128205128,0.7626336660352788,43056,0.7636506605085694,0.7628205128205128,0.7626336660352788,43056,150,256,32,0.05
